episodes,rewards,steps
1347,200.0,200
1348,149.0,149
1349,67.0,67
1350,200.0,200
1351,200.0,200
1352,114.0,114
1353,50.0,50
1354,200.0,200
1355,200.0,200
1356,123.0,123
1357,200.0,200
1358,200.0,200
1359,148.0,148
1360,111.0,111
1361,200.0,200
1362,147.0,147
1363,182.0,182
1364,200.0,200
1365,185.0,185
1366,200.0,200
1367,143.0,143
1368,132.0,132
1369,88.0,88
1370,173.0,173
1371,149.0,149
1372,185.0,185
1373,200.0,200
1374,71.0,71
1375,143.0,143
1376,52.0,52
1377,129.0,129
1378,200.0,200
1379,200.0,200
1380,47.0,47
1381,200.0,200
1382,106.0,106
1383,42.0,42
1384,200.0,200
1385,118.0,118
1386,200.0,200
1387,165.0,165
1388,200.0,200
1389,113.0,113
1390,149.0,149
1391,139.0,139
1392,113.0,113
1393,163.0,163
1394,200.0,200
1395,192.0,192
1396,167.0,167
1397,68.0,68
1398,116.0,116
1399,178.0,178
1400,120.0,120
1401,118.0,118
1402,200.0,200
1403,186.0,186
1404,182.0,182
1405,137.0,137
1406,168.0,168
1407,72.0,72
1408,145.0,145
1409,200.0,200
1410,151.0,151
1411,200.0,200
1412,200.0,200
1413,48.0,48
1414,200.0,200
1415,200.0,200
1416,162.0,162
1417,150.0,150
1418,119.0,119
1419,200.0,200
1420,150.0,150
1421,200.0,200
1422,189.0,189
1423,182.0,182
1424,200.0,200
1425,150.0,150
1426,87.0,87
1427,200.0,200
1428,120.0,120
1429,200.0,200
1430,200.0,200
1431,124.0,124
1432,136.0,136
1433,194.0,194
1434,200.0,200
1435,200.0,200
1436,200.0,200
1437,200.0,200
1438,200.0,200
1439,200.0,200
1440,200.0,200
1441,156.0,156
1442,170.0,170
1443,200.0,200
1444,200.0,200
1445,200.0,200
1446,141.0,141
1447,200.0,200
1448,200.0,200
1449,200.0,200
1450,139.0,139
1451,200.0,200
1452,200.0,200
1453,200.0,200
1454,155.0,155
1455,21.0,21
1456,91.0,91
1457,124.0,124
1458,200.0,200
1459,200.0,200
1460,200.0,200
1461,200.0,200
1462,200.0,200
1463,200.0,200
1464,200.0,200
1465,200.0,200
1466,190.0,190
1467,200.0,200
1468,43.0,43
1469,82.0,82
1470,200.0,200
1471,91.0,91
1472,174.0,174
1473,156.0,156
1474,200.0,200
1475,97.0,97
1476,200.0,200
1477,141.0,141
1478,200.0,200
1479,176.0,176
1480,200.0,200
1481,105.0,105
1482,191.0,191
1483,127.0,127
1484,120.0,120
1485,166.0,166
1486,200.0,200
1487,200.0,200
1488,200.0,200
1489,170.0,170
1490,200.0,200
1491,156.0,156
1492,158.0,158
1493,171.0,171
1494,171.0,171
1495,160.0,160
1496,162.0,162
1497,124.0,124
1498,200.0,200
1499,200.0,200
1500,117.0,117
1501,107.0,107
1502,200.0,200
1503,125.0,125
1504,140.0,140
1505,138.0,138
1506,29.0,29
1507,166.0,166
1508,200.0,200
1509,147.0,147
1510,188.0,188
1511,122.0,122
1512,39.0,39
1513,175.0,175
1514,198.0,198
1515,140.0,140
1516,41.0,41
1517,27.0,27
1518,140.0,140
1519,200.0,200
1520,132.0,132
1521,200.0,200
1522,171.0,171
1523,130.0,130
1524,27.0,27
1525,127.0,127
1526,118.0,118
1527,140.0,140
1528,150.0,150
1529,133.0,133
1530,106.0,106
1531,200.0,200
1532,200.0,200
1533,155.0,155
1534,200.0,200
1535,152.0,152
1536,134.0,134
1537,138.0,138
1538,126.0,126
1539,70.0,70
1540,146.0,146
1541,136.0,136
1542,139.0,139
1543,178.0,178
1544,197.0,197
1545,156.0,156
1546,125.0,125
1547,128.0,128
1548,141.0,141
1549,200.0,200
1550,127.0,127
1551,160.0,160
1552,141.0,141
1553,161.0,161
1554,144.0,144
1555,182.0,182
1556,164.0,164
1557,161.0,161
1558,142.0,142
1559,200.0,200
1560,181.0,181
1561,175.0,175
1562,186.0,186
1563,145.0,145
1564,200.0,200
1565,200.0,200
1566,178.0,178
1567,200.0,200
1568,200.0,200
1569,200.0,200
1570,191.0,191
1571,200.0,200
1572,200.0,200
1573,108.0,108
1574,92.0,92
1575,200.0,200
1576,200.0,200
1577,182.0,182
1578,150.0,150
1579,187.0,187
1580,51.0,51
1581,200.0,200
1582,200.0,200
1583,121.0,121
1584,200.0,200
1585,200.0,200
1586,200.0,200
1587,161.0,161
1588,193.0,193
1589,200.0,200
1590,200.0,200
1591,95.0,95
1592,200.0,200
1593,200.0,200
1594,200.0,200
1595,200.0,200
1596,138.0,138
1597,200.0,200
1598,200.0,200
1599,200.0,200
