2022-10-30 01:21:01 - r - INFO: - n_states: 4, n_actions: 2
2022-10-30 01:21:01 - r - INFO: - Start training!
2022-10-30 01:21:01 - r - INFO: - Env: CartPole-v1, Algorithm: A2C, Device: cuda
2022-10-30 01:21:11 - r - INFO: - Episode: 208/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:11 - r - INFO: - Episode: 209/1600, Reward: 35.00, Steps:35
2022-10-30 01:21:11 - r - INFO: - Episode: 210/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:11 - r - INFO: - Episode: 211/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:12 - r - INFO: - Episode: 212/1600, Reward: 73.00, Steps:73
2022-10-30 01:21:12 - r - INFO: - Episode: 213/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:12 - r - INFO: - Episode: 214/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:12 - r - INFO: - Episode: 215/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:12 - r - INFO: - Episode: 216/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:12 - r - INFO: - Episode: 217/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:12 - r - INFO: - Episode: 218/1600, Reward: 49.00, Steps:49
2022-10-30 01:21:12 - r - INFO: - Episode: 219/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:12 - r - INFO: - Episode: 220/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:12 - r - INFO: - Episode: 221/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:12 - r - INFO: - Episode: 222/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:12 - r - INFO: - Episode: 223/1600, Reward: 52.00, Steps:52
2022-10-30 01:21:12 - r - INFO: - Episode: 224/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:12 - r - INFO: - Episode: 225/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:12 - r - INFO: - Episode: 226/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:12 - r - INFO: - Episode: 227/1600, Reward: 39.00, Steps:39
2022-10-30 01:21:12 - r - INFO: - Episode: 228/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:12 - r - INFO: - Episode: 229/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:12 - r - INFO: - Episode: 230/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:12 - r - INFO: - Episode: 231/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:12 - r - INFO: - Episode: 232/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:12 - r - INFO: - Episode: 233/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:12 - r - INFO: - Episode: 234/1600, Reward: 47.00, Steps:47
2022-10-30 01:21:12 - r - INFO: - Episode: 235/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:12 - r - INFO: - Episode: 236/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:12 - r - INFO: - Episode: 237/1600, Reward: 51.00, Steps:51
2022-10-30 01:21:12 - r - INFO: - Episode: 238/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:12 - r - INFO: - Episode: 239/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:12 - r - INFO: - Episode: 240/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:12 - r - INFO: - Episode: 241/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:12 - r - INFO: - Episode: 242/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:13 - r - INFO: - Episode: 243/1600, Reward: 32.00, Steps:32
2022-10-30 01:21:13 - r - INFO: - Episode: 244/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:13 - r - INFO: - Episode: 245/1600, Reward: 41.00, Steps:41
2022-10-30 01:21:13 - r - INFO: - Episode: 246/1600, Reward: 42.00, Steps:42
2022-10-30 01:21:13 - r - INFO: - Episode: 247/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:13 - r - INFO: - Episode: 248/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:13 - r - INFO: - Episode: 249/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:13 - r - INFO: - Episode: 250/1600, Reward: 51.00, Steps:51
2022-10-30 01:21:13 - r - INFO: - Episode: 251/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:13 - r - INFO: - Episode: 252/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:13 - r - INFO: - Episode: 253/1600, Reward: 35.00, Steps:35
2022-10-30 01:21:13 - r - INFO: - Episode: 254/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:13 - r - INFO: - Episode: 255/1600, Reward: 32.00, Steps:32
2022-10-30 01:21:13 - r - INFO: - Episode: 256/1600, Reward: 97.00, Steps:97
2022-10-30 01:21:13 - r - INFO: - Episode: 257/1600, Reward: 115.00, Steps:115
2022-10-30 01:21:13 - r - INFO: - Episode: 258/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:13 - r - INFO: - Episode: 259/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:13 - r - INFO: - Episode: 260/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:13 - r - INFO: - Episode: 261/1600, Reward: 36.00, Steps:36
2022-10-30 01:21:13 - r - INFO: - Episode: 262/1600, Reward: 32.00, Steps:32
2022-10-30 01:21:13 - r - INFO: - Episode: 263/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:13 - r - INFO: - Episode: 264/1600, Reward: 43.00, Steps:43
2022-10-30 01:21:13 - r - INFO: - Episode: 265/1600, Reward: 63.00, Steps:63
2022-10-30 01:21:13 - r - INFO: - Episode: 266/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:14 - r - INFO: - Episode: 267/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:14 - r - INFO: - Episode: 268/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:14 - r - INFO: - Episode: 269/1600, Reward: 38.00, Steps:38
2022-10-30 01:21:14 - r - INFO: - Episode: 270/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:14 - r - INFO: - Episode: 271/1600, Reward: 68.00, Steps:68
2022-10-30 01:21:14 - r - INFO: - Episode: 272/1600, Reward: 38.00, Steps:38
2022-10-30 01:21:14 - r - INFO: - Episode: 273/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:14 - r - INFO: - Episode: 274/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:14 - r - INFO: - Episode: 275/1600, Reward: 92.00, Steps:92
2022-10-30 01:21:14 - r - INFO: - Episode: 276/1600, Reward: 54.00, Steps:54
2022-10-30 01:21:14 - r - INFO: - Episode: 277/1600, Reward: 48.00, Steps:48
2022-10-30 01:21:14 - r - INFO: - Episode: 278/1600, Reward: 27.00, Steps:27
2022-10-30 01:21:14 - r - INFO: - Episode: 279/1600, Reward: 58.00, Steps:58
2022-10-30 01:21:14 - r - INFO: - Episode: 280/1600, Reward: 48.00, Steps:48
2022-10-30 01:21:14 - r - INFO: - Episode: 281/1600, Reward: 46.00, Steps:46
2022-10-30 01:21:14 - r - INFO: - Episode: 282/1600, Reward: 60.00, Steps:60
2022-10-30 01:21:14 - r - INFO: - Episode: 283/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:14 - r - INFO: - Episode: 284/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:14 - r - INFO: - Episode: 285/1600, Reward: 66.00, Steps:66
2022-10-30 01:21:14 - r - INFO: - Episode: 286/1600, Reward: 55.00, Steps:55
2022-10-30 01:21:14 - r - INFO: - Episode: 287/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:14 - r - INFO: - Episode: 288/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:15 - r - INFO: - Episode: 289/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:15 - r - INFO: - Episode: 290/1600, Reward: 36.00, Steps:36
2022-10-30 01:21:15 - r - INFO: - Episode: 291/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:15 - r - INFO: - Episode: 292/1600, Reward: 12.00, Steps:12
